,title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.street,address.postalCode,position.lat,position.lng,contacts,address.subdistrict
0,Dharamraj,here:pds:place:356te7ug-aab7da0959a549568e2d5367360ac2f8,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12545, 'lng': 72.9193}]",1080,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Dharamraj, Hare Krishna Road, Powai, Mumbai 400076, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Powai,Hare Krishna Road,400076,19.12551,72.9193,,
1,Pajasa Apartments,here:pds:place:356te7ug-2d6f7d8713484a3c822ff16d259a3672,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12385, 'lng': 72.91299}]",1099,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Pajasa Apartments, Service Road, Hiranandani Gardens, Powai, Mumbai 400076, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Powai,Service Road,400076,19.12352,72.91307,"[{'phone': [{'value': '+912269999891'}], 'www': [{'value': 'https://www.pajasaapartments.co.in'}]}]",Hiranandani Gardens
2,Scorpio House,here:pds:place:356te7ug-3fc1a164b55c7471dfef61d914495aa7,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.11936, 'lng': 72.91228}]",1558,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Scorpio House, Central Avenue, Hiranandani Gardens, Powai, Mumbai 400076, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Powai,Central Avenue,400076,19.11943,72.91211,,Hiranandani Gardens
3,Silverline Apartment Mumbai,here:pds:place:3561d4d6-70579cf8c6033f5eddc3d99827ff2342,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12092, 'lng': 72.88549}]",3239,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Silverline Apartment Mumbai, Marol, Andheri East, Mumbai 400059, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Andheri East,,400059,19.12096,72.88542,,Marol
4,Andheri East Service Apartments,here:pds:place:356te7uf-0d5db6077151dcd23696918063140033,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.11752, 'lng': 72.88376}]",3566,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Andheri East Service Apartments, Marol Military Road, Marol, Andheri East, Mumbai 400059, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Andheri East,Marol Military Road,400059,19.11765,72.88373,"[{'phone': [{'value': '+919820049408'}], 'www': [{'value': 'http://www.servicedapartmentsmumbai.com/?s&search=1&post_type=estate&location=marol-andheri-east&term'}]}]",Marol
5,Aghadi Nagar CHS,here:pds:place:356te7v5-ea19989e14a440f9b8386569ef29849e,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.16289, 'lng': 72.93287}]",3856,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Aghadi Nagar CHS, Dargah Road, Bhandup West, Mumbai 400078, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Bhandup West,Dargah Road,400078,19.16275,72.93285,[{'mobile': [{'value': '+919324060902'}]}],
6,Irel Officers Apartment,here:pds:place:356te7ue-e65c876ed64c4bcd89ce874b75ef814b,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.09585, 'lng': 72.91369}]",4163,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Irel Officers Apartment, Damodar Park Road, Damodar Park, Ghatkopar West, Mumbai 400086, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Ghatkopar West,Damodar Park Road,400086,19.09596,72.91358,[{'phone': [{'value': '+912224220843'}]}],Damodar Park
7,Ramkrishna,here:pds:place:356te7vh-7a6a646cb9f14688aae4bcdda4a6c560,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.16653, 'lng': 72.95591}]",5790,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Ramkrishna, Hutatma Chapekar Bhandu Marg, Salvi Wadi, Mulund East, Mumbai 400081, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Mulund East,Hutatma Chapekar Bhandu Marg,400081,19.1665,72.95585,,Salvi Wadi
8,Skiffle CHS,here:pds:place:356te7ue-44bc5a50b70e4079ba6ba5ad714cfa2e,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.07813, 'lng': 72.91169}]",6147,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Skiffle CHS, Vallabh Baug Lane, Ghatkopar East, Mumbai 400077, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Ghatkopar East,Vallabh Baug Lane,400077,19.07814,72.91175,,
9,Ganash,here:pds:place:356te7vh-c25b431bc219440580a988745647d8fe,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.172, 'lng': 72.95578}]",6192,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Ganash, Sardar Vallabhbhai Patel Road, Mulund West, Mumbai 400080, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Mulund West,Sardar Vallabhbhai Patel Road,400080,19.17193,72.95586,,
