,title,address.label,distance,access,position.lat,position.lng,address.postalCode,contacts,id
0,Dharamraj,"Dharamraj, Hare Krishna Road, Powai, Mumbai 400076, India",1080,"[{'lat': 19.12545, 'lng': 72.9193}]",19.12551,72.9193,400076,,here:pds:place:356te7ug-aab7da0959a549568e2d5367360ac2f8
1,Pajasa Apartments,"Pajasa Apartments, Service Road, Hiranandani Gardens, Powai, Mumbai 400076, India",1099,"[{'lat': 19.12385, 'lng': 72.91299}]",19.12352,72.91307,400076,"[{'phone': [{'value': '+912269999891'}], 'www': [{'value': 'https://www.pajasaapartments.co.in'}]}]",here:pds:place:356te7ug-2d6f7d8713484a3c822ff16d259a3672
2,Scorpio House,"Scorpio House, Central Avenue, Hiranandani Gardens, Powai, Mumbai 400076, India",1558,"[{'lat': 19.11936, 'lng': 72.91228}]",19.11943,72.91211,400076,,here:pds:place:356te7ug-3fc1a164b55c7471dfef61d914495aa7
3,Silverline Apartment Mumbai,"Silverline Apartment Mumbai, Marol, Andheri East, Mumbai 400059, India",3239,"[{'lat': 19.12092, 'lng': 72.88549}]",19.12096,72.88542,400059,,here:pds:place:3561d4d6-70579cf8c6033f5eddc3d99827ff2342
4,Andheri East Service Apartments,"Andheri East Service Apartments, Marol Military Road, Marol, Andheri East, Mumbai 400059, India",3566,"[{'lat': 19.11752, 'lng': 72.88376}]",19.11765,72.88373,400059,"[{'phone': [{'value': '+919820049408'}], 'www': [{'value': 'http://www.servicedapartmentsmumbai.com/?s&search=1&post_type=estate&location=marol-andheri-east&term'}]}]",here:pds:place:356te7uf-0d5db6077151dcd23696918063140033
5,Aghadi Nagar CHS,"Aghadi Nagar CHS, Dargah Road, Bhandup West, Mumbai 400078, India",3856,"[{'lat': 19.16289, 'lng': 72.93287}]",19.16275,72.93285,400078,[{'mobile': [{'value': '+919324060902'}]}],here:pds:place:356te7v5-ea19989e14a440f9b8386569ef29849e
6,Irel Officers Apartment,"Irel Officers Apartment, Damodar Park Road, Damodar Park, Ghatkopar West, Mumbai 400086, India",4163,"[{'lat': 19.09585, 'lng': 72.91369}]",19.09596,72.91358,400086,[{'phone': [{'value': '+912224220843'}]}],here:pds:place:356te7ue-e65c876ed64c4bcd89ce874b75ef814b
7,Ramkrishna,"Ramkrishna, Hutatma Chapekar Bhandu Marg, Salvi Wadi, Mulund East, Mumbai 400081, India",5790,"[{'lat': 19.16653, 'lng': 72.95591}]",19.1665,72.95585,400081,,here:pds:place:356te7vh-7a6a646cb9f14688aae4bcdda4a6c560
8,Skiffle CHS,"Skiffle CHS, Vallabh Baug Lane, Ghatkopar East, Mumbai 400077, India",6147,"[{'lat': 19.07813, 'lng': 72.91169}]",19.07814,72.91175,400077,,here:pds:place:356te7ue-44bc5a50b70e4079ba6ba5ad714cfa2e
9,Ganash,"Ganash, Sardar Vallabhbhai Patel Road, Mulund West, Mumbai 400080, India",6192,"[{'lat': 19.172, 'lng': 72.95578}]",19.17193,72.95586,400080,,here:pds:place:356te7vh-c25b431bc219440580a988745647d8fe
10,Royal Palms Estate & Properties,"Royal Palms Estate & Properties, Service Road, Goregaon East, Mumbai 400063, India",6675,"[{'lat': 19.16259, 'lng': 72.85786}]",19.16284,72.85792,400063,"[{'phone': [{'value': '+912261462000'}], 'www': [{'value': 'http://www.royalpalmsindia.com'}]}]",here:pds:place:356te7v6-7424bd059ac945ec9d562343a4355614
11,Sana Guest House,"Sana Guest House, S V Road, Andheri West, Mumbai 400058, India",7085,"[{'lat': 19.12371, 'lng': 72.84661}]",19.1237,72.84665,400058,[{'phone': [{'value': '+912232156639'}]}],here:pds:place:356te7uc-643359fa033fcf8daed1ed542792b39c
12,Twinkle Service Apartment,"Twinkle Service Apartment, Oshiwara Garden Road, Oshiwara Garden, Jogeshwari West, Mumbai 400102, India",7222,"[{'lat': 19.14636, 'lng': 72.84588}]",19.1462,72.8459,400102,"[{'phone': [{'value': '+919819099019'}], 'www': [{'value': 'http://Www.twinkleapartments.com'}]}]",here:pds:place:356te7uc-7c88537101df4ea6a68850a645d36a34
13,Strawberry Vacations,"Strawberry Vacations, Nehru Road, Vile Parle East, Mumbai 400099, India",7459,"[{'lat': 19.0962, 'lng': 72.85414}]",19.09629,72.85416,400099,"[{'phone': [{'value': '+919664666457'}], 'www': [{'value': 'http://www.strawberryvacations.com'}]}]",here:pds:place:356te7u9-956d7d7d767748078ab88eb42c3cc8c9
14,La Maison Hospitality,"La Maison Hospitality, Parleshwar Marg, Navpada, Vile Parle East, Mumbai 400057, India",7937,"[{'lat': 19.10195, 'lng': 72.84543}]",19.10186,72.84553,400057,"[{'phone': [{'value': '+919930122614'}], 'www': [{'value': 'http://www.lamaisonserviceapartments.com'}]}]",here:pds:place:356te7u9-d7b0a51c06674bbebbb9cbfd6687bc56
15,Oshi,"Oshi, Oshiwara, Jogeshwari West, Mumbai 400102, India",7962,"[{'lat': 19.14885, 'lng': 72.83944}]",19.14888,72.8393,400102,,here:pds:place:356te7uc-7a52de251c97490b87566617827a7298
16,BBJ Verona Proposed,"BBJ Verona Proposed, Oshiwara, Jogeshwari West, Mumbai 400102, India",7991,"[{'lat': 19.14886, 'lng': 72.8389}]",19.14887,72.83901,400102,,here:pds:place:356te7uc-70596e9c0e29441e8897bb15e54f9e19
